Categoria,Nome da Origem.1,iBase,iSeg,iPriv,Ciclo_Entrega,ANO,SEMESTRE,Região
"Fundação,FUNDACENTRO,""0,34"",""0,26"",""0,21"",Ciclo 1,2023,1,Sudeste"
"Fundação,FUNDAJ,""0,07"",""0,17"",""0,02"",Ciclo 1,2023,1,Nordeste"
"Fundação,FUNRei,""0,64"",""0,27"",""0,23"",Ciclo 1,2023,1,Sudeste"
"Fundação,FURG,""0,90"",""0,38"",""0,38"",Ciclo 1,2023,1,Sul"
"Especiais,HCPA,""1,00"",""0,72"",""0,74"",Ciclo 1,2023,1,Sul"
"Especiais,HFA,""1,00"",""0,62"",""0,69"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,IBAMA,""0,43"",""0,29"",""0,29"",Ciclo 1,2023,1,Centro-Oeste"
"Fundação,IBGE,""1,00"",""0,73"",""0,74"",Ciclo 1,2023,1,Sudeste"
Instituto,IBICT,,,,Ciclo 1,2023,1,Centro-Oeste
"Instituto,IBRAM,""1,00"",""0,18"",""0,24"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,ICMBio,""0,69"",""0,36"",""0,33"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,IFAC,""0,77"",""0,30"",""0,21"",Ciclo 1,2023,1,Norte"
Instituto,IFAL,,,,Ciclo 1,2023,1,Nordeste
"Instituto,IFAM,""0,80"",""0,30"",""0,19"",Ciclo 1,2023,1,Norte"
"Instituto,IFAP,""1,00"",""0,60"",""0,61"",Ciclo 1,2023,1,Norte"
"Instituto,IFB,""0,69"",""0,29"",""0,31"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,IFBA,""0,43"",""0,25"",""0,18"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFBAIANO,""0,50"",""0,28"",""0,19"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFC,""0,60"",""0,33"",""0,14"",Ciclo 1,2023,1,Sul"
"Instituto,IFCE,""0,51"",""0,25"",""0,20"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFES,""0,57"",""0,10"",""0,13"",Ciclo 1,2023,1,Sudeste"
"Instituto,IFFAR,""0,40"",""0,35"",""0,21"",Ciclo 1,2023,1,Sul"
Instituto,IFFLU,,,,Ciclo 1,2023,1,Sudeste
"Instituto,IFG,""0,40"",""0,28"",""0,15"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,IF-GOIANO,""0,51"",""0,23"",""0,20"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,IFMA,""0,57"",""0,29"",""0,22"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFMG,""0,40"",""0,33"",""0,25"",Ciclo 1,2023,1,Sudeste"
"Instituto,IFMGS,""0,80"",""0,15"",""0,19"",Ciclo 1,2023,1,Sudeste"
"Instituto,IFMS,""0,43"",""0,26"",""0,15"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,IFMT,""0,14"",""0,10"",""0,03"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,IFNMG,""0,26"",""0,15"",""0,10"",Ciclo 1,2023,1,Sudeste"
Instituto,IFPA,,,,Ciclo 1,2023,1,Norte
"Instituto,IFPB,""0,34"",""0,24"",""0,14"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFPE,""0,77"",""0,54"",""0,57"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFPI,""0,60"",""0,34"",""0,33"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFPR,""0,60"",""0,24"",""0,37"",Ciclo 1,2023,1,Sul"
"Instituto,IFRJ,""0,09"",""0,23"",""0,02"",Ciclo 1,2023,1,Sudeste"
"Instituto,IFRN,""0,90"",""0,44"",""0,42"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFRO,""0,43"",""0,34"",""0,22"",Ciclo 1,2023,1,Norte"
"Instituto,IFRR,""0,60"",""0,35"",""0,14"",Ciclo 1,2023,1,Norte"
Instituto,IFRS,,,,Ciclo 1,2023,1,Sul
"Instituto,IFS,""0,90"",""0,53"",""0,41"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFSC,""0,77"",""0,14"",""0,18"",Ciclo 1,2023,1,Sul"
"Instituto,IFSEMG,""0,77"",""0,22"",""0,63"",Ciclo 1,2023,1,Sudeste"
"Instituto,IFSP,""0,90"",""0,47"",""0,50"",Ciclo 1,2023,1,Sudeste"
"Instituto,IFSPE,""0,69"",""0,38"",""0,17"",Ciclo 1,2023,1,Nordeste"
"Instituto,IFSul,""0,50"",""0,29"",""0,20"",Ciclo 1,2023,1,Sul"
"Instituto,IFTO,""0,90"",""0,43"",""0,31"",Ciclo 1,2023,1,Norte"
"Instituto,IFTRIAMG,""0,50"",,""0,39"",Ciclo 1,2023,1,Sudeste"
"Especiais,IN,""0,30"",""0,24"",""0,16"",Ciclo 1,2023,1,Centro-Oeste"
Instituto,INC,,,,Ciclo 1,2023,1,Sudeste
"Instituto,INCA,""0,80"",""0,58"",""0,53"",Ciclo 1,2023,1,Sudeste"
"Instituto,INCRA,""0,50"",""0,48"",""0,42"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,INEP,""0,77"",""0,64"",""0,64"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,INES,""0,10"",,""0,19"",Ciclo 1,2023,1,Sudeste"
"Especiais,INFRAERO,""1,00"",""0,83"",""0,66"",Ciclo 1,2023,1,Centro-Oeste"
"Especiais,INFRA-SA,""0,50"",""0,33"",""0,26"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,INMET,""0,10"",""0,36"",""0,02"",Ciclo 1,2023,1,Centro-Oeste"
"Instituto,INMETRO,""0,70"",""0,37"",""0,43"",Ciclo 1,2023,1,Sudeste"
"Instituto,INPA,""0,17"",""0,03"",""0,04"",Ciclo 1,2023,1,Norte"
"Instituto,INPE,""0,69"",""0,43"",""0,31"",Ciclo 1,2023,1,Sudeste"
