Sigla,Órgão,Unidade,Localização,Responsável
UFT,Fundação Universidade Federal do Tocantins,PROTIC Pró-reitoria de Tecnologia da Informação e Comunicação,TO,Tocantins
UFU,Universidade Federal de Uberlândia,CTIC Centro de Tecnologia da Informação e Comunicação,MG,Minas Gerais
UFV,Fundação Universidade Federal de Viçosa,DTI Diretoria de Tecnologia da Informação,MG,Minas Gerais
UFVJM,Universidade Federal dos Vales do Jequitinhonha e Mucuri,STI-UFVJM Superintendência de Tecnologia da Informação,MG,Minas Gerais
UNB,Fundação Universidade de Brasília,STI Secretaria de Tecnologia da Informação,DF,Distrito Federal
UNIFAL-MG,Universidade Federal de Alfenas,NTI Núcleo de Tecnologia da Informação,MG,Minas Gerais
UNIFAP,Fundação Universidade Federal do Amapá,NTI Núcleo de Tecnologia de Informação,AP,Amapá
UNIFEI,Universidade Federal de Itajubá,DTI Diretoria de Tecnologia da Informação,MG,Minas Gerais
UNIFESP,Universidade Federal de São Paulo,STI Superintendência de Tecnologia da Informação,SP,São Paulo
UNILA,Universidade Federal da Integração Latino-Americana,CTIC Coordenadoria de Tecnologia da Informação,PR,Paraná
UNILAB,Universidade da Integração Internacional da Lusofonia Afro-Brasileira,DTI Diretoria de Tecnologia da Informação,CE,Ceará
UNIPAMPA,Fundação Universidade Federal do Pampa,DTIC Diretoria de Tecnologia da Informação e Comunicação,RS,Rio Grande do Sul
UNIR,Fundação Universidade Federal de Rondônia,DTI Diretoria de Tecnologia da Informação,RO,Rondônia
UNIRIO,Universidade Federal do Estado do Rio de Janeiro,PROPLAN-DTIC Diretoria de Tecnologia de Informação e Comunicação,RJ,Rio de Janeiro
UNIVASF,Fundação Universidade Federal do Vale do São Francisco,GR-STI Secretaria de Tecnologia da Informação,PE,Pernambuco
UTFPR,Universidade Tecnológica Federal do Paraná,DIRGTI Diretoria de Gestão de Tecnologia da Informação,PR,Paraná
Unifesspa,Universidade Federal do Sul e Sudeste do Pará,CTIC Centro de Tecnologia da Informação e Comunicação,PA,Pará
UF,Município,Gestor,BCB,Coaf | Conselho de Controle de Atividades Financeiras
DF,Distrito Federal,José Divino da Silva,CC-PR,IN-CCIVIL | Imprensa Nacional
DF,Distrito Federal,Marcos Vinicius Garcia Rodrigues Lima,CC-PR,ABIN | Agência Brasileira de Inteligência
DF,Distrito Federal,Otávio Carlos Cunha da Silva,CC-PR,Casa Civil da Presidência da República
DF,Distrito Federal,Erica de Lima Gallindo,CC-PR,Casa Civil da Presidência da República
DF,Distrito Federal,Priscilla de Paula Marins,COFIN,Coordenação de Finanças e Contabilidade
DF,Distrito Federal,Leonardo Cahuê Martins,MAPA,Ministério da Agricultura e Pecuária
DF,Distrito Federal,Leonardo Fabio Zaidan de Melo,MCID,Ministério das Cidades
DF,Distrito Federal,Vitor Carneiro Curado,MCTI,CTI | Centro de Tecnologia da Informação Renato Archer
SP,São Paulo,Ângela Maria Alves,MCTI,MPEG | Museu Paraense Emílio Goeldi
PA,Pará,Adenilson Raniery Sarges Pontes,MCTI,INPA | Instituto Nacional de Pesquisas da Amazônia
AM,Amazonas,Roberto Oliveira dos Santos,MCTI,MAST | Museu de Astronomia e Ciências Afins
DF,Distrito Federal,Rogerio Augusto de Barros Gonçalves,MCTI,INT | Instituto Nacional de Tecnologia
RJ,Rio de Janeiro,Ricardo Castro,MCTI,INPE | Instituto Nacional de Pesquisas Espaciais
SP,São Paulo,Antonio Esio Marcondes Salgado,MCTI,LNCC - MCT | Laboratório Nacional de Computação Científica
RJ,Rio de Janeiro,Wagner Vieira Leo,MCTI,IBICT | Instituto Brasileiro de Informação em Ciência e Tecnologia
DF,Distrito Federal,Hugo Valadares Siqueira,MCTI,ON | Observatório Nacional
RJ,Rio de Janeiro,Jorge Eduardo Mansur Serzedello,MD,HFA | Hospital das Forças Armadas
DF,Distrito Federal,Alessandro de Sá Barbosa,MD,CENSIPAM | Centro Gestor e Operacional do Sistema de Proteção da Amazônia
DF,Distrito Federal,Renata Bitar Tiveron,MD,C Ex | Comando do Exército
DF,Distrito Federal,Gen Ex Achilles Furlan Neto,MD,COMAER | Comando da Aeronáutica
SP,São Paulo,Major Brigadeiro Engenheiro Eliezer de Freitas Cabral,MD,MB | Comando da Marinha
RJ,Rio de Janeiro,Calte Marcelo da Silva Gomes,MDS,"SAGICAD Secretaria de Avaliação, Gestão da Informação e Cadastro Único"
DF,Distrito Federal,Leticia Bartholo de Oliveira e Silva,MDS,SENARC Secretaria Nacional de Renda de Cidadania
DF,Distrito Federal,Eliane Aquino Custodio,MDS,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome"
DF,Brasília,Frederico de Almeida Meirelles Palma,MEC,INES | Instituto Nacional de Educação de Surdos
RJ,Rio de Janeiro,Luis Carlos Carvalho Riera,MEMP,"Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte"
DF,Distrito Federal,Flavia Regina Britto Gonçalves,MF,STN | Secretaria do Tesouro Nacional
DF,Distrito Federal,Abdsandryk Cunha de Souza,MF,PGFN | Procuradoria-Geral da Fazenda Nacional
DF,Distrito Federal,Rodrigo Otavio Povoa Pullen Parente,MF,RFB | Secretaria Especial da Receita Federal do Brasil
DF,Distrito Federal,Felipe Mendes Moraes,MGI,ITI | Instituto Nacional de Tecnologia da Informação
DF,Distrito Federal,Pedro Pinheiro Cardoso,MGI,AN | Arquivo Nacional
RJ,Rio de Janeiro,Maximiliano Martins de Faria,MGI,SPU | Secretaria do Patrimônio da União
DF,Distrito Federal,Ana Paula Bruno,MGI,Ministério da Gestão e da Inovação em Serviços Públicos
DF,Distrito Federal,Carla de Paiva Bezerra,MGI,SGP | Secretaria de Gestão de Pessoas
DF,Distrito Federal,Antonio Fiuza de Sousa Landim,MGI,SEGES Secretaria de Gestão e Inovação
DF,Distrito Federal,Roberto Seara Machado Pojo Rego,MGI,SEST | Secretaria de Coordenação e Governança das Empresas Estatais
DF,Brasília,Hamilton Fernando Cota Cruz,MGI,ITI | Instituto Nacional de Tecnologia da Informação
DF,Distrito Federal,Mauricio Augusto Coelho,MJSP,PRF | Polícia Rodoviária Federal
DF,Distrito Federal,Joedson Camilo de Oliveira,MJSP,PF | Polícia Federal
DF,Distrito Federal,Ademir Dias Cardoso Junior,MJSP,SENAPPEN | Secretaria Nacional de Políticas Penais
DF,Distrito Federal,Rodrigo de Morais Santana,MJSP,SENACON | Secretaria Nacional do Consumidor
DF,Distrito Federal,Alexandre Yamanaka Shiozaki,MMA,SFB | Serviço Florestal Brasileiro
Setorial: MMA,Coordenação-Geral de Tecnologia da Informação,DF | Distrito Federal,MPO,SOF | Secretaria de Orçamento Federal
DF,Distrito Federal,Felipe Cesar Araujo da Silva,MS,INC | Instituto Nacional de Cardiologia
RJ,Rio de Janeiro,Daniel Soares,MS,Ministério da Saúde
DF,Distrito Federal,Paulo Eduardo Guedes Sellera,MS,INCA | Instituto Nacional de Câncer
RJ,Rio de Janeiro,Roberto Luiz Silva dos Santos,MT,SENATRAN Secretaria Nacional de Trânsito
DF,Distrito Federal,Adrualdo de Lima Catao,MinC,FBN | Fundação Biblioteca Nacional
